Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA
1,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,21-343,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0
2,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,29-173,1991,24,21,1848,20.5,0.05,0.1,0.15,0.05,0.15,0.05,0.1,0.15,0.05,0.15
3,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,22-064,1999,3,0,36,0.4,0,0,0,0,0,0.43,0,0.43,0.43,0.43
4,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,24-344,1996,20,11,1104,12.3,0,0.08,0.08,0,0.08,0.02,0.07,0.09,0.02,0.09
5,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,25-202,1995,21,11,1041,11.6,0,0,0,0,0,0.05,0.05,0.11,0.05,0.11
6,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,28-038,1993,7,5,441,4.9,0,0,0,0,0,0,0,0,0,0
7,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,23-120,1997,9,4,374,4.2,0,0,0,0,0,0,0.08,0.08,0,0.08
8,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,19-206,2001,1,1,73,0.8,0,0,0,0,0,0.02,0,0.02,0.02,0.02
9,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,32-029,1989,27,27,2350,26.1,0.11,0.19,0.31,0.11,0.31,0.07,0.22,0.29,0.07,0.29
10,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,35-227,1985,29,29,2577,28.6,0,0,0,0,0,0.02,0,0.02,0.02,0.02
11,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,27-232,1993,21,15,1246,13.8,0.36,0.29,0.65,0.29,0.58,0.5,0.2,0.7,0.39,0.59
12,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,32-031,1989,10,6,723,8,0,0,0,0,0,0.01,0,0.01,0.01,0.01
13,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,29-353,1991,24,20,1779,19.8,0.05,0,0.05,0.05,0.05,0.07,0.03,0.1,0.07,0.1
14,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,26-068,1995,17,2,480,5.3,0.19,0.19,0.37,0.19,0.37,0.16,0.09,0.26,0.16,0.26
15,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,23-104,1998,15,11,1041,11.6,0.09,0.17,0.26,0.09,0.26,0.14,0.11,0.25,0.14,0.25
16,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,23-104,1998,2,0,48,0.5,0,0,0,0,0,0.04,0,0.04,0.04,0.04
17,Alfon\Alfon,es ESP,MF,Celta Vigo,21-350,1999,2,0,34,0.4,0,0,0,0,0,0.13,0.22,0.35,0.13,0.35
18,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,29-086,1992,24,16,1474,16.4,0,0,0,0,0,0.02,0.06,0.07,0.02,0.07
19,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,26-085,1995,20,19,1678,18.6,0.05,0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05
20,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,31-192,1989,18,5,600,6.7,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06
21,Ángel\Angel,es ESP,GK,Granada,18-301,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0
22,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,23-039,1998,2,1,135,1.5,0,0,0,0,0,0.02,0,0.02,0.02,0.02
23,José Ángel\Jose-Angel,es ESP,DF,Eibar,31-226,1989,8,6,468,5.2,0,0,0,0,0,0,0.1,0.11,0,0.11
24,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,DF,Getafe,22-271,1998,2,0,8,0.1,0,0,0,0,0,1.98,0,1.98,1.98,1.98
25,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,23-078,1998,1,0,26,0.3,0,0,0,0,0,0.5,0,0.5,0.5,0.5
26,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,25-201,1995,29,29,2585,28.7,0.1,0,0.1,0.1,0.1,0.06,0.06,0.12,0.06,0.12
27,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,29-233,1991,27,22,2018,22.4,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
28,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,22-043,1999,17,12,1102,12.2,0.08,0.08,0.16,0.08,0.16,0.04,0,0.04,0.04,0.04
29,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,33-339,1987,27,23,2177,24.2,0,0.04,0.04,0,0.04,0.04,0.04,0.08,0.04,0.08
30,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,22-108,1999,3,0,39,0.4,0,0,0,0,0,0,0,0,0,0
31,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,19-201,2001,7,0,127,1.4,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06
32,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,31-295,1989,31,31,2790,31,0,0,0,0,0,0,0,0,0,0
33,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,25-088,1996,28,18,1540,17.1,0.23,0.12,0.35,0.23,0.35,0.25,0.15,0.4,0.25,0.4
34,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,33-261,1987,27,27,2362,26.2,0.46,0.38,0.84,0.3,0.69,0.38,0.29,0.67,0.29,0.58
35,Miguel Atienza\Miguel-Atienza,es ESP,MFFW,Eibar,21-327,1999,5,2,233,2.6,0,0,0,0,0,0.02,0,0.02,0.02,0.02
36,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FW,Osasuna,27-072,1994,2,0,24,0.3,0,0,0,0,0,1.23,0,1.23,1.23,1.23
37,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,28-128,1992,2,1,101,1.1,0,0,0,0,0,0.15,0,0.15,0.15,0.15
38,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,34-223,1986,20,7,612,6.8,0.29,0,0.29,0.29,0.29,0.42,0.13,0.54,0.42,0.54
39,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,29-066,1992,30,30,2700,30,0,0,0,0,0,0,0,0,0,0
40,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,19-273,2001,3,2,125,1.4,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1
41,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,21-023,2000,20,4,521,5.8,0.17,0,0.17,0.17,0.17,0.28,0.11,0.4,0.28,0.4
42,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,33-049,1988,15,9,969,10.8,0,0.09,0.09,0,0.09,0,0.02,0.03,0,0.03
43,Barcia\Barcia,es ESP,DF,Granada,20-109,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0
44,Enis Bardhi\Enis-Bardhi,mk MKD,MFFW,Levante,25-291,1995,20,14,1305,14.5,0.07,0.14,0.21,0.07,0.21,0.17,0.07,0.24,0.17,0.24
45,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,24-018,1997,28,13,1136,12.6,0.16,0.24,0.4,0.16,0.4,0.12,0.15,0.27,0.12,0.27
46,Marc Baró Ortiz\Marc-Baro-Ortiz,es ESP,DF,Cádiz,21-239,1999,1,1,90,1,0,0,0,0,0,0.02,0.33,0.35,0.02,0.35
47,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,33-311,1987,22,22,1830,20.3,0,0.15,0.15,0,0.15,0.02,0.04,0.07,0.02,0.07
48,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,19-113,2001,25,11,1045,11.6,0.26,0,0.26,0.26,0.26,0.13,0.15,0.28,0.13,0.28
49,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,30-094,1991,14,14,1244,13.8,0,0,0,0,0,0.03,0,0.03,0.03,0.03
50,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,29-281,1991,26,24,2029,22.5,0.04,0,0.04,0.04,0.04,0.03,0,0.03,0.03,0.03
51,Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,25-290,1995,15,0,239,2.7,0,0,0,0,0,0.2,0.06,0.26,0.2,0.26
52,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,22-075,1999,25,9,928,10.3,0.29,0,0.29,0.29,0.29,0.13,0.02,0.16,0.13,0.16
53,Sergio Benito\Sergio-Benito,es ESP,FW,Valladolid,22-027,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0
54,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,33-121,1987,27,26,2295,25.5,0.75,0.24,0.98,0.75,0.98,0.6,0.17,0.77,0.6,0.77
55,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,31-068,1990,23,21,1682,18.7,0.05,0.16,0.21,0.05,0.21,0.04,0.1,0.14,0.04,0.14
56,Álex Berenguer\Alex-Berenguer,es ESP,FWMF,Athletic Club,25-289,1995,27,20,1709,19,0.37,0.16,0.53,0.37,0.53,0.28,0.16,0.44,0.28,0.44
57,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,30-216,1990,20,19,1514,16.8,0,0,0,0,0,0.05,0,0.05,0.05,0.05
58,Blanco\Blanco,es ESP,MF,Real Madrid,20-270,2000,1,0,26,0.3,0,0,0,0,0,,,,,
59,Alejandro Blanco\Alejandro-Blanco,es ESP,MF,Valencia,22-124,1998,13,6,580,6.4,0.16,0,0.16,0.16,0.16,0.13,0.08,0.21,0.13,0.21
60,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,25-268,1995,19,19,1637,18.2,0,0,0,0,0,0,0,0,0,0
61,Yann Bodiger\Yann-Bodiger,fr FRA,MF,Cádiz,26-069,1995,9,2,251,2.8,0,0,0,0,0,0,0.05,0.05,0,0.05
62,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,30-014,1991,27,27,2430,27,0.04,0,0.04,0.04,0.04,0.01,0,0.02,0.01,0.02
63,Lucas Boyé\Lucas-Boye,ar ARG,FW,Elche,25-050,1996,27,25,2097,23.3,0.21,0.04,0.26,0.21,0.26,0.17,0.03,0.19,0.17,0.19
64,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Barcelona,29-318,1991,26,11,1099,12.2,0.16,0.16,0.33,0.16,0.33,0.4,0.17,0.57,0.34,0.5
65,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,29-066,1992,11,6,596,6.6,0.15,0,0.15,0.15,0.15,0.12,0.01,0.13,0.12,0.13
66,Álvaro Bravo\Alvaro-Bravo,es ESP,MF,Granada,23-074,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0
67,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,38-006,1983,13,13,1170,13,0,0,0,0,0,0,0,0,0,0
68,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,23-236,1997,20,12,994,11,0,0,0,0,0,0.02,0,0.02,0.02,0.02
69,Juan Brunet\Juan-Brunet,ar ARG,MF,Granada,23-085,1998,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0
70,Bryan\Bryan,es ESP,FW,Sevilla,20-067,2001,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0
71,Bryan\Bryan,es ESP,MFFW,Eibar,20-067,2001,21,20,1751,19.5,0.15,0.1,0.26,0.15,0.26,0.12,0.2,0.32,0.1,0.3
72,Ante Budimir\Ante-Budimir,hr CRO,FW,Osasuna,29-271,1991,23,14,1233,13.7,0.51,0,0.51,0.51,0.51,0.44,0.04,0.48,0.44,0.48
73,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,29-100,1992,14,12,1111,12.3,0.24,0.08,0.32,0.08,0.16,0.29,0.01,0.31,0.09,0.11
74,Burgui\Burgui,es ESP,MF,Alavés,27-172,1993,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0
75,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,32-277,1988,28,24,1896,21.1,0,0.14,0.14,0,0.14,0,0.13,0.13,0,0.13
