Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,21-341,1999,0.1,0,0,0,,0,0,,,
Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,29-171,1991,19.5,1,13,2,15.4,0.67,0.1,0.08,0.5,20.6
Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,22-062,1999,0.4,0,1,0,0,2.5,0,0,,17.5
Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,24-342,1996,11.8,0,2,0,0,0.17,0,0,,14.3
Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,25-200,1995,11.6,0,7,0,0,0.61,0,0,,17.6
Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,28-036,1993,4.9,0,0,0,,0,0,,,
Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,23-118,1997,4.2,0,0,0,,0,0,,,
Jony Álamo\Jony-Alamo,es ESP,MF,Elche,19-204,2001,0.8,0,1,0,0,1.23,0,0,,26
Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,32-027,1989,26.1,3,21,11,52.4,0.8,0.42,0.14,0.27,20.3
Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,35-225,1985,28.6,0,7,1,14.3,0.24,0.03,0,0,14.5
Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,27-230,1993,13.3,5,30,13,43.3,2.25,0.97,0.13,0.31,14.1
Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,32-029,1989,8,0,1,0,0,0.12,0,0,,9
Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,29-351,1991,19.8,1,20,2,10,1.01,0.1,0.05,0.5,24.6
Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,26-066,1995,5.1,1,10,3,30,1.97,0.59,0.1,0.33,17.4
Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,23-102,1998,10.7,1,21,5,23.8,1.96,0.47,0.05,0.2,20.3
Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,23-102,1998,0.5,0,1,0,0,1.87,0,0,,17.5
Alfon\Alfon,es ESP,MF,Celta Vigo,21-348,1999,0.4,0,1,1,100,2.65,2.65,0,0,18.4
Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,29-084,1992,15.4,0,5,2,40,0.33,0.13,0,0,16.8
Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,26-083,1995,18.6,1,10,1,10,0.54,0.05,0.1,1,12.5
Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,31-190,1989,6.6,0,5,1,20,0.76,0.15,0,0,12.7
Ángel\Angel,es ESP,GK,Granada,18-299,2002,1,0,0,0,,0,0,,,
Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,23-037,1998,1.5,0,1,0,0,0.67,0,0,,8.6
José Ángel\Jose-Angel,es ESP,DF,Eibar,31-224,1989,4.4,0,1,0,0,0.23,0,0,,29.1
José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,DF,Getafe,22-269,1998,0.1,0,1,0,0,12.86,0,0,,8
Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,23-076,1998,0.3,0,1,0,0,3.46,0,0,,7
Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,25-199,1995,27.7,3,38,7,18.4,1.37,0.25,0.08,0.43,24.9
